artist,song_name
Travis Scott,CAROUSEL
Nicki Minaj,Barbie Dreams
Travis Scott,STOP TRYING TO BE GOD
Eminem,Killshot
Travis Scott,R.I.P. SCREW
Hozier,Take Me to Church
Not3s,Just Fine
Ariana Grande,pete davidson
Travis Scott,NO BYSTANDERS
Machine Gun Kelly,RAP DEVIL
Dua Lipa,Want To
Childish Gambino,Feels Like Summer
Gucci Mane,Wake Up in the Sky
Colin Firth,Dancing Queen
Cher,Super Trouper
Travis Scott,CAN'T SAY
French Montana,No Stylist (feat. Drake)
Jeremy Irvine,"Knowing Me, Knowing You"
Billie Eilish,you should see me in a crown
Ariana Grande,successful
"Baddiel, Skinner & Lightning Seeds",Three Lions '98
Ariana Grande,raindrops (an angel cried)
Lily James,The Name Of The Game
Twenty One Pilots,Jumpsuit
Years & Years,All For You
Lily James,I Have A Dream
Ariana Grande,better off
Amelia Monét,Baddest
Amanda Seyfried,I've Been Waiting For You
MoStack,Litness
Pinkfong,Baby Shark
Koomz,Mariah - Remix
Ariana Grande,get well soon
Alesso,REMEDY
David Guetta,Say My Name
Rita Ora,Let You Love Me
Bring Me The Horizon,MANTRA
Mac Miller,Self Care
Cadet,Advice
Drake,After Dark (feat. Static Major & Ty Dolla $ign)
Fat Les,Vindaloo
Lil Baby,Drip Too Hard
New Order,World in Motion
Travis Scott,SKELETONS
KSI,On Point
6ix9ine,BEBE
Travis Scott,5% TINT
Lil Mosey,Noticed
Joji,SLOW DANCING IN THE DARK
Ariana Grande,blazed (feat. Pharrell Williams)
Travis Scott,ASTROTHUNDER
Travis Scott,NC-17
Travis Scott,WHO? WHAT!
Gryffin,Tie Me Down (with Elley Duhé)
Travis Scott,HOUSTONFORNICATION
Ariana Grande,borderline (feat. Missy Elliott)
Mumford & Sons,Guiding Light
Aretha Franklin,I Say a Little Prayer
Nicki Minaj,Majesty (with Labrinth & feat. Eminem)
The 1975,Sincerity Is Scary
Aretha Franklin,Respect
Travis Scott,COFFEE BEAN
Lil Uzi Vert,New Patek
Chip,CRB Check (feat. Not3s)
Chance the Rapper,I Might Need Security
Trippie Redd,Taking A Walk
ZAYN,Too Much (feat. Timbaland)
Dizzee Rascal,Money Right
Twenty One Pilots,Nico And The Niners
Florence + The Machine,Patricia
The Chainsmokers,This Feeling (feat. Kelsea Ballerini)
Logic,One Day (feat. Ryan Tedder)
Years & Years,Karma
Nicki Minaj,Ganja Burn
Lukas Graham,Love Someone
Lana Del Rey,Mariners Apartment Complex
Florence + The Machine,South London Forever
Mac Miller,Ladders
OneRepublic,Connection
Florence + The Machine,Big God
Yungen,Pricey (feat. One Acen)
Gorillaz,Tranz
Sheck Wes,Mo Bamba
Nicki Minaj,Rich Sex (feat. Lil Wayne)
The Beatles,Here Comes The Sun - Remastered 2009
6LACK,Pretty Little Fears (feat. J. Cole)
Twenty One Pilots,My Blood
Nicki Minaj,Thought I Knew You (feat. The Weeknd)
Juice WRLD,Wasted (feat. Lil Uzi Vert)
BTS,IDOL
Hozier,Nina Cried Power (feat. Mavis Staples)
Aretha Franklin,Think
Green Day,American Idiot
Tranell,Too Catty
Gnarls Barkley,Crazy
Aretha Franklin,(You Make Me Feel Like) A Natural Woman
Ella Mai,Trip
Nina Nesbitt,Loyal to Me
Lewis Capaldi,Grace
Loud Luxury,Love No More
BROCKHAMPTON,J'OUVERT
Ariana Grande,"thank u, next"
Dave,Funky Friday
Lady Gaga,Shallow
Halsey,Without Me
Ava Max,Sweet but Psycho
Kodak Black,ZEZE (feat. Travis Scott & Offset)
Jess Glynne,Thursday
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)"
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
Zara Larsson,Ruin My Life
Charli XCX,1999
Little Mix,Woman Like Me (feat. Nicki Minaj)
Brenda Lee,Rockin' Around The Christmas Tree
Bad Bunny,MIA (feat. Drake)
Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee)
Billie Eilish,when the party's over
XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee)
Dua Lipa,Kiss and Make Up
Lil Baby,Drip Too Hard (Lil Baby & Gunna)
Queen,Bohemian Rhapsody - Remastered 2011
Paul McCartney,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version
Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus)
James Arthur,Empty Space
Lady Gaga,Always Remember Us This Way
James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie)
Jonas Blue,Polaroid
6ix9ine,KIKA
Khalid,Suncity (feat. Empress Of)
D-Block Europe,nASSty
P!nk,A Million Dreams
benny blanco,I Found You (with Calvin Harris)
Queen,Another One Bites The Dust - Remastered 2011
Meek Mill,Going Bad (feat. Drake)
Cardi B,Money
XXXTENTACION,BAD!
Imagine Dragons,Bad Liar
The 1975,It's Not Living (If It's Not With You)
Jona Lewie,Stop the Cavalry - Radio Edit
Khalid,Saturday Nights
Anne-Marie,Perfect to Me
Queen,Somebody To Love - Remastered 2011
Lady Gaga,I'll Never Love Again - Film Version - Radio Edit
Queen,Under Pressure - Remastered 2011
Ariana Grande,imagine
6ix9ine,TIC TOC
The Plug,"Broken Homes (feat. Nafe Smallz, M Huncho & Gunna)"
Fredo,BMT
6ix9ine,MAMA
Brett Eldredge,"Baby, It's Cold Outside (feat. Meghan Trainor)"
6ix9ine,STOOPID
Tom Grennan,Found What I've Been Looking For
Future,Fine China
Clean Bandit,Baby (feat. MARINA & Luis Fonsi)
Da Beatfreakz,"Pumpy (feat. Deno, Cadet, AJ & Swarmz)"
Queen,Killer Queen - Remastered 2011
XXXTENTACION,whoa (mind in awe)
Lauv,There's No Way (feat. Julia Michaels)
Ariana Grande,Santa Baby
DigDat,AirForce
Lil Wayne,Mona Lisa (feat. Kendrick Lamar)
Billie Eilish,ocean eyes
Jax Jones,Play
Lady Gaga,Look What I Found
The Crystals,Rudolph the Red-Nosed Reindeer
Queen,We Will Rock You - Remastered 2011
Flipp Dinero,Leave Me Alone
Billie Eilish,bellyache
Billie Eilish,come out and play
Billie Eilish,idontwannabeyouanymore
Kygo,Happy Now
Yxng Bane,Needed Time
Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)"
6ix9ine,WAKA
Billie Eilish,lovely
Panic! At The Disco,The Greatest Show
Olly Murs,Moves (feat. Snoop Dogg)
Mariah Carey,Christmas (Baby Please Come Home)
Rudimental,Walk Alone (feat. Tom Walker)
Little Mix,Strip (feat. Sharaya J)
Lil Wayne,Don't Cry (feat. XXXTENTACION)
Juice WRLD,Armed And Dangerous
Cheryl,Love Made Me Do It
Michael Bublé,I'll Be Home for Christmas
Post Malone,Wow.
Normani,Checklist (with Calvin Harris) (feat. WizKid)
Lady Gaga,I'll Never Love Again - Extended Version
M.O,Wondering
DigDat,AirForce - Remix
Metro Boomin,10 Freaky Girls (with 21 Savage)
Mumford & Sons,Beloved
6ix9ine,FEFE
XXXTENTACION,Guardian angel
Dalton Harris,The Power of Love (feat. James Arthur)
Trippie Redd,Topanga
Russ Millions,Gun Lean
6ix9ine,KANGA
Steve Aoki,Waste It On Me (feat. BTS)
XXXTENTACION,I don’t let go
Dean Martin,Rudolph The Red-Nosed Reindeer
Ella Fitzgerald,Sleigh Ride
OSH,My Yé Is Different
Shawn Mendes,Lost In Japan - Remix
M-22,How Does It Feel
Lady Gaga,Music To My Eyes
The 1975,I Always Wanna Die (Sometimes)
Lil Wayne,Let It Fly (feat. Travis Scott)
Queen,Thank God It's Christmas - Non-Album Single
Lady Gaga,Is That Alright?
Estelle,American Boy
21 Savage,a lot
XXXTENTACION,Train food
Dean Martin,"Baby, It's Cold Outside"
XXXTENTACION,what are you so afraid of
AJ Tracey,Doing It
Lil Wayne,Uproar
Nat King Cole,Joy To The World
XXXTENTACION,One Minute (feat. Kanye West & Travis Barker)
Bing Crosby,Do You Hear What I Hear?
Twenty One Pilots,Morph
Frank Sinatra,Mistletoe And Holly - Remastered 1999
XXXTENTACION,STARING AT THE SKY
The 1975,Be My Mistake
Frank Sinatra,Jingle Bells - Remastered 1999
The 1975,I Like America & America Likes Me
Lil Wayne,What About Me (feat. Sosamann)
Nina Nesbitt,Oh Holy Night
Rita Ora,Only Want You
Bing Crosby,It's Beginning To Look Like Christmas
Ariana Grande,Last Christmas
Yxng Bane,Problem (feat. Fredo)
XXXTENTACION,difference (interlude)
Lil Wayne,Dedicate
Twenty One Pilots,Chlorine
21 Savage,monster
Meek Mill,What's Free (feat. Rick Ross & Jay Z)
The Plug,Tell The Truth (feat. D-Block Europe & Rich The Kid)
Little Mix,Wasabi
Devin Dawson,Christmas Time Is Here - Recorded at Sound Emporium Nashville
Loyle Carner,Ottolenghi
Little Mix,Joan of Arc
George Ezra,"White Christmas - Spotify Singles - Holiday, Recorded at Air Studios, London"
Lil Wayne,Can't Be Broken
Little Mix,Think About Us
Josh Jips,Read
Quavo,FLIP THE SWITCH (feat. Drake)
Little Mix,Told You So
Leoni Jut,I'LL BE THERE
Dappy,All We Know
The 1975,Inside Your Mind
Meek Mill,24/7 (feat. Ella Mai)
Meek Mill,On Me (feat. Cardi B)
The 1975,I Couldn't Be More In Love
Quavo,PASS OUT (feat. 21 Savage)
Little Mix,Monster In Me
Mumford & Sons,Woman
The 1975,How To Draw / Petrichor
Metro Boomin,Don't Come Out The House (with 21 Savage)
Rube Claws,DANG
Mumford & Sons,42
Kelly Clarkson,Never Enough
Stan Kenton,Lonesome Train
Lil Peep,Life is Beautiful
Anderson .Paak,Tints (feat. Kendrick Lamar)
Lil Peep,Sex with My Ex
Clean Bandit,Mama (feat. Ellie Goulding)
Trippie Redd,1400 / 999 Freestyle
Lil Peep,Runaway
Little Mix,More Than Words (feat. Kamille)
Metro Boomin,Overdue (with Travis Scott)
Meek Mill,Uptown Vibes (feat. Fabolous & Anuel AA)
Lil Wayne,Dark Side Of The Moon (feat. Nicki Minaj)
Metro Boomin,Space Cadet (feat. Gunna)
ZAYN,No Candle No Light (feat. Nicki Minaj)
MAX,The Other Side (with MAX & Ty Dolla $ign)
Years & Years,Come Alive
Metro Boomin,Dreamcatcher (feat. Swae Lee & Travis Scott)
Twenty One Pilots,Neon Gravestones
CamelPhat,Breathe
Twenty One Pilots,Smithereens
Twenty One Pilots,Nico and the Niners
Tory Lanez,MiAMi (feat. Gunna)
Little Mix,American Boy
Little Mix,The Cure
Lil Baby,Close Friends (Lil Baby & Gunna)
Imagine Dragons,Machine
Geko,Will Smith
Twenty One Pilots,The Hype
Little Mix,Love a Girl Right
The Chainsmokers,Beach House
Imagine Dragons,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet"""
Mumford & Sons,The Wild
Lil Peep,Broken Smile (My All)
Backstreet Boys,I Want It That Way
Tory Lanez,DrIP DrIp Drip (feat. Meek Mill)
Miley Cyrus,Party In The U.S.A.
Khalid,Vertigo
Lil Peep,Cry Alone
Twenty One Pilots,Levitate
Bradley Cooper,Maybe It's Time
Professor Green,Photographs (with Rag'n'Bone Man)
Spice Girls,Wannabe
Queen,Crazy Little Thing Called Love - Remastered 2011
WSTRN,Round Here (feat. Skrapz)
Rak-Su,I Want You to Freak
Lil Wayne,Famous (feat. Reginae Carter)
Lewis Capaldi,Someone You Loved
Calvin Harris,Giant (with Rag'n'Bone Man)
Sam Smith,Dancing With A Stranger (with Normani)
Mabel,Don't Call Me Up
Ariana Grande,"break up with your girlfriend, i'm bored"
Ariana Grande,7 rings
NSG,Options
Billie Eilish,bury a friend
J. Cole,MIDDLE CHILD
Lauv,i'm so tired...
A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine)
Headie One,18HUNNA (feat. Dave)
Chris Brown,Undecided
Jonas Brothers,Sucker
Khalid,Talk
A Boogie Wit da Hoodie,Look Back at It
Gesaffelstein,Lost in the Fire
YNW Melly,Murder On My Mind
Ariana Grande,needy
Blueface,Thotiana
Ariana Grande,bloodline
Ariana Grande,bad idea
Tom Walker,Just You and I
Ariana Grande,NASA
Catfish and the Bottlemen,Longshot
Swarmz,Bally
Westlife,Hello My Love
Cardi B,Please Me
Dua Lipa,"Swan Song - From the Motion Picture ""Alita: Battle Angel"""
Dave,Disaster (feat. J Hus)
Dave,Location (feat. Burna Boy)
D-Block Europe,Kitchen Kings
Ariana Grande,fake smile
P!nk,Walk Me Home
Alec Benjamin,Let Me Down Slowly
Dave,Streatham
AJ Tracey,Psych Out!
Wiley,Boasty (feat. Idris Elba)
The Chainsmokers,Who Do You Love
Lewis Capaldi,Bruises
Ariana Grande,ghostin
Kehlani,Nights Like This (feat. Ty Dolla $ign)
Little Mix,Think About Us (feat. Ty Dolla $ign)
Mustard,Pure Water (with Migos)
Ariana Grande,make up
Ariana Grande,in my head
Marshmello,Here With Me
Sub Focus,Desire (with Dimension)
A Boogie Wit da Hoodie,Startender (feat. Offset and Tyga)
Billie Eilish,wish you were gay
Sigrid,Don’t Feel Like Crying
Picture This,One Drink
AJ Tracey,Ladbroke Grove
The Plug,"How It Is (feat. Roddy Ricch, Chip & Yxng Bane)"
Dave,Black
Yungen,Comfortable (feat. Dappy)
YUNGBLUD,11 Minutes (with Halsey feat. Travis Barker)
Dave,Screwface Capital
Dave,Psycho
Juice WRLD,Robbery
benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)"
DigDat,No Cap
Giggs,BABY
Zedd,365
Bebe Rexha,Last Hurrah
Sam Smith,"Fire On Fire - From ""Watership Down"""
Lizzo,Juice
Daddy Yankee,Con Calma
Octavian,Bet (feat. Skepta & Michael Phantom)
The Chainsmokers,Hope
Khalid,My Bad
FISHER,Losing It
Juice WRLD,Fast
Dave,Voices
Ava Max,So Am I
Dave,Environment
Steel Banglez,Fashion Week (feat. AJ Tracey & MoStack)
David Guetta,Better When You're Gone
Hozier,Almost (Sweet Music)
Logic,Keanu Reeves
Sam Fender,Play God
YNW Melly,Mixed Personalities (feat. Kanye West)
Russ Millions,Gun Lean Remix
Galantis,Bones (feat. OneRepublic)
Marshmello,Alone
Marshmello,Project Dreams
Dave,Lesley (feat. Ruelle)
Juice WRLD,Hear Me Calling
Bring Me The Horizon,medicine
Dave,Purple Heart
Martin Jensen,Nobody
Seeb,Grip
AJ Tracey,Country Star
Russ Millions,Keisha & Becky - Russ splash x Tion Wayne
Tom Walker,Now You're Gone (feat. Zara Larsson)
Dermot Kennedy,Power Over Me
AJ Tracey,Wifey Riddim 3
MEDUZA,Piece Of Your Heart
JAY1,Becky
Fredo,All I Ever Wanted (feat. Dave)
Sofía Reyes,R.I.P. (feat. Rita Ora & Anitta)
Madison Beer,Hurts Like Hell (feat. Offset)
Kygo,Think About You
Hardy Caprio,Sponsored
Fredo,Survival of the Fittest
Blueface,"Thotiana (feat. Cardi B, YG) [Remix]"
Summer Walker,Girls Need Love (with Drake) - Remix
Nafe Smallz,Like a Film (feat. M Huncho)
Future,First Off (feat. Travis Scott)
Roddy Ricch,Die Young
Peter Manos,In My Head
James Blake,Mile High (feat. Travis Scott & Metro Boomin)
ZieZie,Sensei
James Blake,Mile High
Giggs,187
Dave,Drama
AJ Tracey,Nothing But Net (feat. Giggs)
Loyle Carner,Loose Ends
AJ Tracey,Plan B
Juice WRLD,Empty
AJ Tracey,Double C's
AJ Tracey,Rina
Bring Me The Horizon,mother tongue
Foals,In Degrees
Fredo,Mmhm
Lil Skies,I
Bring Me The Horizon,nihilist blues (feat. Grimes)
Catfish and the Bottlemen,Fluctuate
Juice WRLD,Maze
Bring Me The Horizon,sugar honey ice & tea
AJ Tracey,Jackpot
Bring Me The Horizon,in the dark
Catfish and the Bottlemen,2all
Foals,Exits
The Prodigy,Firestarter
Future,Crushed Up
Martin Garrix,No Sleep (feat. Bonn)
Deno,Lifestyle
D-Block Europe,Running Man
The Prodigy,Breathe
Bring Me The Horizon,wonderful life (feat. Dani Filth)
Post Malone,Wow. - Remix
Bring Me The Horizon,why you gotta kick me when i'm down?
Offset,Legacy (feat. Travis Scott & 21 Savage)
Fredo,Property Picking
Gesaffelstein,Lost in the Fire (feat. The Weeknd)
Tory Lanez,Freaky
D-Block Europe,Keeper
SL,FWA Boss
Unknown T,Throwback (with Crazy Cousinz)
Bring Me The Horizon,heavy metal (feat. Rahzel)
AJ Tracey,Necklace (feat. Jay Critch)
Fredo,Morning
Fredo,All I Ever Wanted (feat. Dave) - Edit
Tame Impala,Patience
Foals,On The Luna
AJ Tracey,Triple S
NAV,Price On My Head (feat. The Weeknd)
Lana Del Rey,hope is a dangerous thing for a woman like me to have - but I have it
Bring Me The Horizon,i apologise if you feel something
Louis Tomlinson,Two of Us
Offset,Red Room
Julia Michaels,What A Time (feat. Niall Horan)
Fredo,It's Like
Jonas Blue,What I Like About You (feat. Theresa Rex)
Rv,Match Day
Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA
Dolly Parton,9 to 5
Fredo,Doing the Most (feat. Lil Dotz)
Eminem,Lose Yourself - Soundtrack Version
Dexys Midnight Runners,Come On Eileen
benny blanco,Roses (with Juice WRLD feat. Brendon Urie)
Nicki Minaj,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse"
Fleetwood Mac,Go Your Own Way - 2004 Remaster
Billie Eilish,bad guy
Lil Nas X,Old Town Road (feat. Billy Ray Cyrus) - Remix
Stormzy,Vossi Bop
Ed Sheeran,I Don't Care (with Justin Bieber)
Avicii,SOS
Khalid,Talk (feat. Disclosure)
Russ Millions,Keisha & Becky - Remix
Lewis Capaldi,Hold Me While You Wait
Shawn Mendes,If I Can't Have You
JAY1,Your Mrs
Jax Jones,All Day And Night - Jax Jones & Martin Solveig Present Europa
Ellie Goulding,Sixteen
Hardy Caprio,Guten Tag
Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock)
Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)
Kygo,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")"
Dominic Fike,3 Nights
Billie Eilish,my strange addiction
BTS,Boy With Luv (feat. Halsey)
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco)
Billie Eilish,all the good girls go to hell
"Tyler, The Creator",EARFQUAKE
Lewis Capaldi,One
Young Thug,The London (feat. J. Cole & Travis Scott)
Billie Eilish,xanny
Ariana Grande,MONOPOLY (with Victoria Monét)
Avicii,SOS (feat. Aloe Blacc)
Lizzo,Truth Hurts
Katy Perry,Never Really Over
Da Beatfreakz,"Motorola (feat. Swarmz, Deno & Dappy)"
Zara Larsson,Don't Worry Bout Me
Logic,Homicide (feat. Eminem)
Lil Dicky,Earth
Chris Brown,No Guidance (feat. Drake)
Mark Ronson,Late Night Feelings (feat. Lykke Li)
NSG,OT Bop
Not3s,Wanting
Lewis Capaldi,Forever
Digga D,No Diet
Sigala,Wish You Well
5 Seconds of Summer,Easier
Lewis Capaldi,Maybe
Lewis Capaldi,Hollywood
James Arthur,Falling Like The Stars
OneRepublic,Rescue Me
Jess Glynne,One Touch
Khalid,Outta My Head (with John Mayer)
Bazzi,Paradise
David Guetta,Stay (Don't Go Away) [feat. Raye]
Mabel,Mad Love
Skepta,What Do You Mean?
Skepta,Greaze Mode
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)"
Billie Eilish,i love you
Lewis Capaldi,Lost On You
Billie Eilish,ilomilo
Taylor Swift,You Need To Calm Down
Lewis Capaldi,Don't Get Me Wrong
Miley Cyrus,Mother's Daughter
BLACKPINK,Kill This Love
Young T & Bugsey,Strike a Pose (feat. Aitch)
MoStack,Shine Girl (feat. Stormzy)
Bugzy Malone,M.E.N II
Jax Jones,Play (with Years & Years)
Drake,Money In The Grave (Drake ft. Rick Ross)
Shawn Mendes,Señorita
J Hus,Daily Duppy (feat. GRM Daily)
The Chainsmokers,Call You Mine (feat. Bebe Rexha)
Jonas Brothers,Cool
Billie Eilish,listen before i go
Avicii,Heaven
FISHER,You Little Beauty
SZA,Power is Power (feat. The Weeknd & Travis Scott)
Halsey,Nightmare
Bastille,Joy
Lewis Capaldi,Fade
Billie Eilish,8
Little Mix,Bounce Back
MoStack,Wild
Tiësto,Ritual
YK Osiris,Worth It
MoStack,Stinking Rich (feat. Dave & J Hus)
DJ Khaled,Just Us (feat. SZA)
Elton John,Tiny Dancer
Logic,Homicide
Joyner Lucas,Isis
Polo G,Pop Out (feat. Lil Tjay)
Mark Ronson,Find U Again (feat. Camila Cabello)
Sam Fender,Hypersonic Missiles
One Acen,Miss Diva (feat. Yungen)
"Tyler, The Creator",I THINK
Lewis Capaldi,Headspace
Jonas Brothers,Only Human
Skepta,Bullet From A Gun
Stormzy,Crown
B Young,Gucci Demon
Lewis Capaldi,when the party's over - Recorded at Spotify Studios NYC
MoStack,I'm The One - MoStack x Fredo
Avicii,Tough Love
slowthai,Inglorious (feat. Skepta)
Geko,New Money - Geko x French Montana x Ay Em
DaBaby,Suge
YG,"Go Loko (feat. Tyga, Jon Z)"
Elton John,Don't Go Breaking My Heart
Lil Nas X,Panini
Elton John,Your Song
CamelPhat,Be Someone
Marshmello,Light It Up (with Tyga & Chris Brown)
JAY1,Mocking It
"Tyler, The Creator",IGOR'S THEME
ZAYN,"A Whole New World (End Title) - From ""Aladdin"""
"Tyler, The Creator",RUNNING OUT OF TIME
Kygo,Not Ok
Bugzy Malone,Kilos (feat. Aitch)
Lil Uzi Vert,Sanguine Paradise
"Tyler, The Creator",NEW MAGIC WAND
Charli XCX,Blame It on Your Love (feat. Lizzo)
Billie Eilish,goodbye
Calvin Harris,I'm Not Alone - CamelPhat Remix
P!nk,Hurts 2B Human (feat. Khalid)
Joji,Sanctuary
Lil Tecca,Ransom
Drake,Omertà
Beyoncé,Hold Up
Cardi B,Press
Digga D,Mr Sheeen - Digga D x Russ Millions
Catfish and the Bottlemen,Conversation
Ashley O,On A Roll
Khalid,Don't Pretend (feat. SAFE)
Tion Wayne,Drive By
MoStack,Shannon
MIST,Can't Stop Clocks
Beyoncé,Sorry
Nipsey Hussle,Racks in the Middle (feat. Roddy Ricch and Hit-Boy)
Catfish and the Bottlemen,Encore
DJ Khaled,"Jealous (feat. Chris Brown, Lil Wayne & Big Sean)"
Beyoncé,Formation
Dermot Kennedy,Outnumbered
SZA,Power is Power
French Montana,Slide (feat. Blueface & Lil Tjay)
"Tyler, The Creator",A BOY IS A GUN*
Skepta,Redrum
Beyoncé,Before I Let Go - Homecoming Live Bonus Track
"Tyler, The Creator",WHAT'S GOOD
Lewis Capaldi,Tough
Calboy,Envy Me
Lewis Capaldi,Rush (feat. Jessie Reyez)
Bryan Adams,Summer Of '69
Elton John,I'm Still Standing
"Tyler, The Creator",PUPPET
Lil Nas X,Rodeo
"Tyler, The Creator","GONE, GONE / THANK YOU"
Nafe Smallz,Good Love (feat. Tory Lanez)
Skepta,Love Me Not
Gerry Cinnamon,Canter
Skepta,Same Old Story
Liam Gallagher,Shockwave
DJ Khaled,Celebrate (feat. Travis Scott & Post Malone)
Digga D,P4DP
Skepta,No Sleep
Marshmello,One Thing Right
Skepta,Going Through It
"Tyler, The Creator",ARE WE STILL FRIENDS?
Y2K,Lalala
"Tyler, The Creator",I DON'T LOVE YOU ANYMORE
Catfish and the Bottlemen,Sidetrack
BTS,Make It Right
T MULLA,Droptop
Ali Gatie,It's You
BTS,Mikrokosmos
Skepta,Glow In The Dark
DJ Khaled,Higher (feat. Nipsey Hussle & John Legend)
Khalid,Bad Luck
MoStack,Respect & Love
KSI,Pull Up
BTS,HOME
Mahmood,Soldi
Nicki Minaj,MEGATRON
Catfish and the Bottlemen,Mission
Catfish and the Bottlemen,Basically
Bastille,Doom Days
M Huncho,Ocho Cinco
BTS,Dream Glow (BTS World Original Soundtrack) - Pt. 1
MoStack,Girl Diary
Slipknot,Unsainted
Lotto Ash,Different Strokes (feat. Lotto Ash)
Skepta,Animal Instinct
MoStack,Yes Yes
Skepta,Gangsta
Tyga,Haute (feat. J Balvin & Chris Brown)
Lauv,Drugs & The Internet
Khalid,Right Back
Krept & Konan,Ban Drill
Zara Larsson,All the Time
DJ Khaled,Wish Wish (feat. Cardi B & 21 Savage)
Stefflon Don,Phone Down
Skepta,You Wish
BTS,Dionysus
Duncan Laurence,Arcade
KSI,Real Name
Lana Del Rey,Doin' Time
Nafe Smallz,Fake Love (feat. Yxng Bane)
Loyle Carner,Angel
Catfish and the Bottlemen,Overlap
Catfish and the Bottlemen,Coincide
SL,Homage
Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker)
BTS,Jamais Vu
Florence + The Machine,Jenny of Oldstones (Game of Thrones)
DJ Khaled,"You Stay (feat. Meek Mill, J Balvin, Lil Baby & Jeremih)"
M Huncho,Rock Bottom
Bastille,Another Place
Fleetwood Mac,Dreams - 2004 Remaster
Khalid,Self
Alan Walker,On My Way
MoStack,Rock With You
Khalid,Intro
Khalid,Hundred
Catfish and the Bottlemen,Intermission
MoStack,Make Me Fall In Love & You Can Keep Me Forever (feat. Dolapo)
Gerry Cinnamon,Belter
Maren Morris,The Bones
Khalid,Paradise
BTS,Intro : Persona
NF,The Search
DJ Snake,Loco Contigo (with J. Balvin & Tyga)
Train,"Hey, Soul Sister"
Jaykae,On The Way Home (feat. Bowzer Boss)
Ed Sheeran,Beautiful People (feat. Khalid)
Ed Sheeran,Take Me Back to London (feat. Stormzy)
Kygo,Higher Love
Post Malone,Goodbyes (Feat. Young Thug)
Fredo,So High (feat. Fredo)
Sam Smith,How Do You Sleep?
Joel Corry,Sorry
Dave,Thiago Silva
Ariana Grande,boyfriend (with Social House)
Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B)
Ed Sheeran,Antisocial (with Travis Scott)
Aitch,Taste (Make It Shake)
Freya Ridings,Castles
D-Block Europe,Home P*ssy
Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent)
Lil Nas X,Old Town Road - Remix
Jax Jones,Harder (with Bebe Rexha)
Tones And I,Dance Monkey
Ellie Goulding,Hate Me (with Juice WRLD)
Jorja Smith,Be Honest (feat. Burna Boy)
Sam Feldt,Post Malone (feat. RANI)
Krept & Konan,I Spy (feat. Headie One & K-Trap)
Headie One,Both
Lauv,"fuck, i'm lonely"
Lizzo,Good as Hell
Jax Jones,All Day And Night
Becky Hill,I Could Get Used To This
Regard,Ride It
Billie Eilish,bad guy (with Justin Bieber)
Wiley,"My One (feat. Tory Lanez, Kranium & Dappy)"
Normani,Motivation
Lizzo,Good As Hell
Ed Sheeran,Best Part of Me (feat. YEBBA)
Ed Sheeran,Put It All on Me (feat. Ella Mai)
Ed Sheeran,Feels (feat. Young Thug & J Hus)
Ed Sheeran,"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]"
Taylor Swift,Lover
The Chainsmokers,Takeaway (feat. Lennon Stella)
Ed Sheeran,Nothing On You (feat. Paulo Londra & Dave)
Post Malone,Circles
Solardo,XTC
Ariana Grande,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)
Remedee,Love of My Life (feat. Not3s & Young Adz)
Miley Cyrus,Slide Away
J. Cole,The London (feat. J. Cole & Travis Scott)
Ed Sheeran,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie)
Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)
Taylor Swift,The Man
Ed Sheeran,I Don't Want Your Money (feat. H.E.R.)
Aitch,Buss Down (feat. ZieZie)
The Plug,Rich (feat. D Block Europe & Offset)
Chris Brown,Don't Check On Me (feat. Justin Bieber & Ink)
The Plug,Not Today (feat. Dappy & Tory Lanez)
Stormzy,Sounds of the Skeng
Dave,Professor X
Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott)
Swae Lee,Won't Be Late (feat. Drake)
Post Malone,Saint-Tropez
